English,Portuguese
Can you give us an example ?,Pode dar-nos um exemplo?
I'll look up the rate . To look up doesn't mean to look high into the sky or to look at the roof . It means to search for and find some information .,Vou procurar a taxa. Olhar para cima não significa olhar alto para o céu ou olhar para o telhado. Significa procurar e encontrar alguma informação.
What about the expression goodbye ? Is that an idiom ?,E a expressão adeus? Isso é uma expressão?
"That is just a natural , grammatical English expression . It has a direct translation in other languages .","Isso é apenas uma expressão natural, gramatical Inglês. Tem uma tradução direta para outras línguas."
"This is interesting , Ms . Parker .","Isto é interessante, Sra. O Parker."
Why did the teacher criticise Myra in front of the whole class ?,Porque é que o professor criticou a Myra na frente de toda a turma?
"Because Myra was cheating on exams , and she spoke back rudely .","Porque Myra estava traindo nos exames, e ela respondeu rudemente."
"I don't think that Myra should have spoken so rudely to the teacher . I know she was angry , but that's still no excuse for rudeness .","Acho que a Myra não devia ter falado tão rudemente com a professora. Eu sei que ela estava zangada, mas isso ainda não é desculpa para rudeza."
Do you know where I can park ?,Sabes onde posso estacionar?
Do you need a spot here or off campus ?,Precisas de um lugar aqui ou fora do campus?
I want a space on campus .,Quero um espaço no campus.
There's a parking structure for students .,Há uma estrutura de estacionamento para estudantes.
Where can I find it ?,Onde posso encontrá-lo?
"Go to the western side of the campus , and you'll find it there .","Vá para o lado ocidental do campus, e você vai encontrá-lo lá."
Is it full ?,Está cheio?
"When I went up there , it wasn't full at all .","Quando fui lá acima, não estava nada cheio."
When was that ?,Quando foi isso?
Sometime this morning .,Algum dia esta manhã.
Would it be full now ?,Estaria cheio agora?
I am really not sure .,Não tenho a certeza.
Have you heard of the Love Bug ?,Já ouviste falar do Bug do Amor?
Do you mean the ' I love you ' virus that attacks computers through e-mail ?,"Queres dizer o vírus ""eu amo-te"" que ataca computadores por e-mail?"
Yes . It is one of the most harmful computer viruses in the world . People say it will break out again om Valentines ' Day this year .,Sim. É um dos vírus informáticos mais prejudiciais do mundo. As pessoas dizem que vai explodir novamente om Dia dos Namorados este ano.
This is terrible . Why do hackers play such a dirty trick ?,Isto é terrível. Porque é que os hackers fazem um truque tão sujo?
"Hackers are smart , and they want people to know about it .","Hackers são inteligentes, e eles querem que as pessoas saibam sobre isso."
So they create viruses to tell people they are smart ? That's really sick .,Então eles criam vírus para dizer às pessoas que são inteligentes? Isso é mesmo doentio.
I am confused by what he said .,Estou confuso com o que ele disse.
Why do you say that ?,Porque dizes isso?
I don ' t know what he wants to do . Does he want help me or just scold me ?,Não sei o que ele quer fazer. Ele quer ajudar-me ou apenas repreender-me?
Think a little . I think he means well at the bottom of his heart .,Pensa um pouco. Acho que ele tem boas intenções no fundo do coração.
Where are you going ?,Aonde vais?
I ' m going to the hospital .,Vou para o hospital.
What ' s the matter ?,Qual é o problema?
Professor Wang was hurt in a traffic accident .,O Professor Wang foi ferido num acidente de trânsito.
That ' s too bad . How are things now ?,Isso é uma pena. Como estão as coisas agora?
"His life is hanging by a thread , and he is under an emergency treatment .","Sua vida está pendurada por um fio, e ele está sob um tratamento de emergência."
Want to meet for lunch this Saturday ?,Queres encontrar-te para almoçar este sábado?
"Sorry , I can't . I am busy .","Desculpa, não posso. Estou ocupado."
What are you doing ?,O que estás a fazer?
I always do volunteer work on the first Saturday of every month .,Eu sempre faço trabalho voluntário no primeiro sábado de cada mês.
What kind of volunteer work ?,Que tipo de trabalho voluntário?
I help out at the children's hospital . I help plan activities .,Eu ajudo no hospital infantil. Eu ajudo a planear atividades.
"Oh , yeah ?",Sim?
"Yes , it ' s exciting . This month we are doing crossword puzzles .","Sim, é excitante. Este mês estamos fazendo palavras cruzadas."
"Are the children all grown up now , Rose ?","As crianças já cresceram, Rose?"
"Oh , yes . Laura ' s the oldest . She ' s a computer programmer .",Sim. Laura é a mais velha. Ela é uma programadora de computadores.
"Oh , very interesting . And what about Rita ? She was such a bright child -- always reading .","Muito interessante. E a Rita? Ela era uma criança brilhante, sempre a ler."
She ' s a librarian at the public library .,Ela é bibliotecária na biblioteca pública.
Really ? And Chris ? She was a very pretty little girl .,A sério? E o Chris? Ela era uma menina muito bonita.
Christy is working as a waitress at a restaurant in Paris . She ' s married to a French photographer .,Christy está trabalhando como garçonete em um restaurante em Paris. Ela é casada com um fotógrafo francês.
"Oh , how interesting . And what about Larry and Rocky ?","Oh, que interessante. E o Larry e o Rocky?"
Larry drives a truck . He drives all over the country . We hardly ever seen him .,O Larry dirige um camião. Ele dirige por todo o país. Quase nunca o vimos.
Really ? Where does he live now ?,A sério? Onde é que ele vive agora?
Colorado .,O Colorado.
"And does Rocky drive a truck , too ?",E o Rocky também conduz um camião?
"Oh , no . Rocky is a pilot .",Não. Rocky é um piloto.
Really ? Where does he fly ? Does he fly to other countries ?,A sério? Onde é que ele voa? Ele voa para outros países?
Yes . Mostly to England and France .,Sim. Principalmente para a Inglaterra e a França.
"Merry Christmas , Linda !","Feliz Natal, Linda!"
"Merry Christmas , Lee !","Feliz Natal, Lee!"
"Linda , thank you for this wonderful Christmas dinner . I really enjoyed it .","Linda, obrigado por este jantar de Natal maravilhoso. Eu realmente gostei."
Thank you for coming . I'm glad you liked it .,Obrigado por terem vindo. Ainda bem que gostaste.
Where's your better half ?,Onde está a tua melhor metade?
She's at home .,Ela está em casa.
"Look , there are some words on the fish .","Olha, há algumas palavras sobre o peixe."
I know that they are auspicious fish . It's quite popular nowadays .,Sei que são peixes auspiciosos. É bastante popular hoje em dia.
For God's sake ! It's too bloody . How can people be so cruel ?,Pelo amor de Deus! É muito sangrento. Como é que as pessoas podem ser tão cruéis?
Not at all . I think the tattoos are so cool and chic .,De modo algum. Acho que as tatuagens são tão fixes e chiques.
You can't prick the fish to please the sick tastes of some bloody people .,Não se pode pintar o peixe para agradar os gostos doentios de algumas pessoas sangrentas.
"Honey , it's not so serious . It's just an animal .","Querido, não é tão sério. É só um animal."
"Just an animal ? But it has life too . If you want a tattoo , get one . It's your choice because you want it . But has anyone asked the fish if it wanted one ?","Só um animal? Mas também tem vida. Se queres uma tatuagem, arranja uma. A escolha é tua porque a queres. Mas alguém perguntou ao peixe se queria um?"
"OK , I understand , but what else could we do ?","Está bem, eu compreendo, mas o que mais podemos fazer?"
"Who's singing in your home , Jim ?","Quem está a cantar na tua casa, Jim?"
It's Ellie and her friends .,É a Ellie e os amigos dela.
Who's Ellie ?,Quem é a Ellie?
"She's my little niece . It ' s her birthday . They ' re singing "" Happy Birthday "" .","Ela é minha sobrinha. É o aniversário dela. Eles estão cantando ""Feliz Aniversário""."
"Oh , I see . how old is she ?",Estou a ver. Quantos anos ela tem?
She's ten .,Ela tem dez anos.
I suppose they're playing games .,Suponho que estão a jogar jogos.
"Oh , yes . Ellie was playing games all day yesterday . By the way , Alice , when's your birthday ?","Sim. A Ellie esteve a jogar jogos o dia todo ontem. Aliás, Alice, quando é o teu aniversário?"
Today .,Hoje.
Today ?,Hoje?
Yes .,Sim.
"Well , imagine that ! How old are you ?","Bem, imaginem isso! Quantos anos tens?"
Eighteen . Some friends are having a birthday party for me tonight . Do you want to come ?,Dezoito. Alguns amigos vão dar uma festa de aniversário para mim esta noite. Queres vir?
Very much . What time ?,Muito. A que horas?
About 6:00 .,Por volta das 6:00.
I'll be at your house at about 5:30 . Happy birthday .,Estarei em sua casa por volta das 5:30. Feliz aniversário.
"Well , it was nice meeting you .","Bem, foi um prazer conhecê-lo."
"Yes , I hope we meet again .","Sim, espero que nos encontremos novamente."
"Sure , I'll give you a call .","Claro, eu ligo-te."
Okay .,Está bem.
I saw an interesting program on TV last night . It was about elderly people .,Vi um programa interessante na TV ontem à noite. Tratava-se de pessoas idosas.
And what did the program say ?,E o que dizia o programa?
It said that people with a positive attitude 7 tend to live longer and happier .,Disse que as pessoas com uma atitude positiva 7 tendem a viver mais e mais feliz.
I think that many physicians 8 now agree with that idea .,Eu acho que muitos médicos 8 agora concordam com essa idéia.
And the TV program also said that physical exercise helps people deal with stress .,E o programa de TV também disse que o exercício físico ajuda as pessoas a lidar com o estresse.
"And the most active older people seem to enjoy some kind of physical exercise . My father is over 60 years old , and he lifts weights every day .","E os idosos mais ativos parecem desfrutar de algum tipo de exercício físico. Meu pai tem mais de 60 anos, e ele levanta pesos todos os dias."
Did you see the information on sales for last year ? The sales review was made at our last board meeting . There's a great news for our shareholders .,Viu a informação sobre as vendas do ano passado? A revisão das vendas foi feita na nossa última reunião do conselho. Há uma ótima notícia para os nossos accionistas.
"Yeah , I went over the figures this morning . We're finally started making money again !","Sim, eu revisei os números esta manhã. Finalmente começamos a ganhar dinheiro de novo!"
"We've never sold this much before , our growth this year has been phenomenal . We have captured 8 % of the market , up from last year by 120 % . Our strategy is working !","Nunca vendemos tanto antes, nosso crescimento este ano tem sido fenomenal. Captámos 8 % do mercado, com um aumento de 120 % em relação ao ano passado. A nossa estratégia está a funcionar!"
"not only our annual sales brake a record , but our month by month earnings exceeded our forecast as well . After a two-year slump , we finally back in the black .","não só as nossas vendas anuais freiam um recorde, mas o nosso mês por mês ganhos excedeu a nossa previsão também. Depois de uma queda de dois anos, finalmente voltamos ao preto."
The company's performance has improved since Wallace became president . He's made our little business into a real lucrative operation . Products are selling like hotcakes .,O desempenho da empresa melhorou desde que Wallace se tornou presidente. Ele transformou o nosso pequeno negócio numa operação muito lucrativa. Produtos estão vendendo como hotcakes.
"I think our success is partly because of Wallace's contribution , and partly because of our new marketing strategy . Because of the new advertising campaign , we have become the top sellers in the field .","Penso que o nosso sucesso se deve em parte à contribuição do Wallace e em parte à nossa nova estratégia de marketing. Por causa da nova campanha de publicidade, tornamo-nos os melhores vendedores no campo."
Let's hope this stroke of good luck lasts . I hope we are over our financial difficulties for good .,Esperemos que este golpe de boa sorte dure. Espero que tenhamos superado as nossas dificuldades financeiras para o bem.
Let's hope it is !,Vamos esperar que seja!
What a letdown . I wanted to experience some Mafia culture firsthand .,Que desilusão. Eu queria experimentar alguma cultura da Máfia em primeira mão.
It's worth it just to go and eat what the mafia eat ! The five-dollar tiramisu is a culinary orgasm .,Vale a pena ir comer o que a máfia come! O tiramisu de cinco dólares é um orgasmo culinário.
Such a thing exists ?,Essa coisa existe?
"Fortunately , yes . You're blushing !","Felizmente, sim. Estás a corar!"
Am I ? Um ... my face gets red when I walk too fast .,Estou? la mia cara diventa rossa quando ando troppo veloz.
"You're embarrassed , aren't you ? You gotta loosen up in Little Italy . The lady at the cafe will kiss you when you meet her ...","Estás envergonhado, não estás? Tens de te descontrair em Little Italy. A senhora do café vai beijar-te quando a encontrares..."
Did you get any rewards or honors in college ?,Recebeste alguma recompensa ou honra na faculdade?
"Yes , I received the scholarship 3 times on end .","Sim, recebi a bolsa 3 vezes no final."
Did you join the Communist Party of China ( CPC ) ?,Você se juntou ao Partido Comunista da China ( CPC )?
"Yes , I joined the CPC when I was a freshman","Sim, juntei-me ao CPC quando era calouro."
Your brand new car is so excellent . I like it very much .,Seu carro novíssimo é tão excelente. Eu gosto muito.
Let ' s go for a joy ride .,Vamos dar um passeio de alegria.
Are you watching the soccer match tonight ? It must be the most exciting one in this season .,Estás a ver o jogo de futebol esta noite? Deve ser o mais emocionante desta temporada.
"Well , of course I can ' t miss it . Which team are you for ?","Bem, claro que não posso perdê-lo. Para que equipa és?"
Manchester United . What about you ?,Manchester United. E tu?
Me too . Do you think they are going to get the championship this time ?,Eu também. Achas que vão conseguir o campeonato desta vez?
I have confidence in them .,Tenho confiança neles.
The weekend's finally here !,Finalmente chegou o fim-de-semana!
And it's a long one . I have Monday off . It's Memorial Day or something like that .,E é uma longa. Tenho segunda-feira de folga. É o Dia do Memorial ou algo assim.
Yep . It's the kickoff of the barbecue season . We're invited to a grill party in the park tomorrow .,Sim. É o início da época do churrasco. Estamos convidados para uma festa no parque amanhã.
Sounds good . What do we need to bring ?,Parece-me bem. O que precisamos de trazer?
"We need to buy some buns for the hot dogs and hamburgers , and I'm making potato salad .","Temos de comprar alguns pão para os cachorros quentes e hambúrgueres, e eu estou fazendo salada de batata."
I'll dig out the Frisbee and my kite from Taiwan .,Vou desenterrar o Frisbee e o meu papagaio de Taiwan.
"Hi , Martin . I ' Ve been looking for you all morning .","Olá, Martin. Tenho andado à tua procura a manhã toda."
What ' s up ?,O que se passa?
I want to say goodbye . I ' m leaving for America tomorrow .,Quero dizer adeus. Vou embora para a América amanhã.
America ? Did you get admit to MIT ?,América? Conseguiste admitir no MIT?
Yes .,Sim.
Congratulations ! Susan . I ' m so happy for you .,Parabéns! - Susan. - Sim. Estou tão feliz por ti.
Thank you .,Obrigado.
Really going to miss you .,Vais sentir mesmo a tua falta.
Me too . I ' ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ' s more meaning than the emails even than the phone call .,Eu também. Eu escrevo-te assim que me assentar. Mas eu tenho tanto para fazer. Talvez tenhas de esperar um pouco. Mas eu realmente vou escrever para você. Eu adoro escrever cartas. Eu acho que é mais significante do que os e-mails mesmo do que o telefonema.
Ok . Take care . Have a nice journey .,Está bem. Cuida-te. Tenha uma boa viagem.
Thank you .,Obrigado.
Look after yourself . Bye .,Cuide de si mesmo. Adeus.
Bye .,Adeus.
"You know , Taylor's been in the hospital for a couple of days .","Sabes, o Taylor está no hospital há uns dias."
And I'm the one who put him there with my football moves .,E fui eu que o coloquei lá com os meus movimentos de futebol.
But you're not to blame for them keeping him there .,Mas não és culpado por eles o terem mantido lá.
"Yeah , what was all that stuff about running tests about anyway ?","Sim, o que era tudo aquilo sobre fazer testes?"
"I'm not sure , but we can find out . I bought some crosswords to keep him busy .","Não tenho a certeza, mas podemos descobrir. Comprei algumas palavras cruzadas para mantê-lo ocupado."
"Great , then let's go visit him . I want to give him some flowers , too , to say sorry .","Ótimo, então vamos visitá-lo. Quero dar-lhe algumas flores, também, para pedir desculpa."
Did you see Ally Mabel last night ?,Viste a Ally Mabel ontem à noite?
"Yes , I did . Did you ?","Sim, eu fiz. Sim?"
"Yes , wasn't it funny ?","Sim, não foi engraçado?"
"Oh yes , I loved it . Wasn't the scene with the judge great ?","Oh, sim, eu adorei. A cena com o juiz não foi boa?"
"Ha , yes , brilliant !","Sim, brilhante!"
Look out ! Your tea water is running over .,Cuidado! A água do chá está a passar.
"Oh , would you please turn off the fire ? My hands are sticky with the dough .","Pode desligar o fogo, por favor? As minhas mãos estão pegajosas com a massa."
Sure .,Claro que sim.
Thanks .,Obrigado.
Did you see May today ?,Viste a May hoje?
"Yes , but why does she have such a long face ?","Sim, mas porque é que ela tem uma cara tão longa?"
I don't have the foggiest idea .,Não tenho a menor ideia.
I thought she'd be happy .,Pensei que ela ficaria feliz.
"Yeah , especially since she got a promotion recently .","Sim, especialmente desde que ela foi promovida recentemente."
I don't know . Maybe it ' s some kind of personal problem .,Não sei. Talvez seja algum tipo de problema pessoal.
I don't think the teacher had a right to say that . The teacher was wrong to have accused her in front of the whole class .,Acho que o professor não tinha o direito de dizer isso. A professora estava errada em acusá-la na frente de toda a classe.
"You've got to be joking ! It's the teacher's right to say anything wants , and if she saw Myra cheating , she certainly had the right to say so .","Só podes estar a brincar! É o direito da professora de dizer tudo o que quiser, e se ela viu Myra traindo, ela certamente tinha o direito de dizer isso."
"I agree she had the right to say something , but I feel she should have done it privately .","Concordo que ela tinha o direito de dizer alguma coisa, mas acho que ela deveria ter feito isso em privado."
"You're right . If I were the teacher , I wouldn't have done that .","Tens razão. Se eu fosse o professor, não teria feito isso."
Come on in . I am so glad you are here . We have been expecting you .,Entrem. Estou tão feliz por estares aqui. Estivemos à sua espera.
Am I late for the party ? Looks everyone is already here . Hope I didn ' t miss something interesting .,Estou atrasado para a festa? Parece que toda a gente já está aqui. Espero não ter perdido algo interessante.
"No , you are just on time . We haven ' t really started yet .","Não, estás na hora certa. Ainda não começamos."
"Great , here are some flowers for you . I hope you like them . I was not sure if the color will suit your new apartment .","Ótimo, aqui estão algumas flores para você. Espero que gostes deles. Eu não tinha certeza se a cor vai se adequar ao seu novo apartamento."
"Thank you , they ' re beautiful . You can hang your coat over there . Try this new couch , it is so comfortable . You will love it . Want something to drink , tea , coffee , juice or Cola ?","Obrigado, eles são lindos. Podes pendurar o casaco ali. Tente este sofá novo, é tão confortável. Vais adorar. Quer algo para beber, chá, café, suco ou Cola?"
Don ' t bother . I will help myself .,Não te incomodes. Vou ajudar-me a mim mesma.
Make yourself at home .,Sinta-se em casa.
It is such a nice place .,É um lugar tão agradável.
"Well , I don ' t mean to boast but all the designs are done by myself and some colleagues are already trying to copy some of them for their new apartments . Look , they are making photos now of my designed kitchen .","Bem, eu não quero me vangloriar, mas todos os projetos são feitos por mim e alguns colegas já estão tentando copiar alguns deles para seus novos apartamentos. Olha, eles estão fazendo fotos agora da minha cozinha projetada."
"Steven , would you like to go dance with us tonight ?","Steven, queres dançar connosco esta noite?"
"John , I am just not in the mood for this .","John, não estou com disposição para isto."
You look so upset . What's going on ?,Pareces tão chateada. O que se está a passar?
I lost the table tennis game yesterday .,Perdi o jogo de ténis de mesa ontem.
"Oh , what a pity !",Que pena!
I just don ' t want to play table tennis any more .,Só não quero mais jogar ténis de mesa.
Is it that bad ? It ' s nothing more than a game .,É assim tão mau? Não é nada mais do que um jogo.
My opponent bowled me with the very first ball . I was wondering if it's appropriate for me to play table tennis .,Meu oponente jogou-me com a primeira bola. Estava a pensar se é apropriado para mim jogar ténis de mesa.
"Oh , come on ! Failure is the mother of success . Don ' t lose heart . I'm sure you'll succeed .",Vá lá! O fracasso é a mãe do sucesso. Não perca o coração. Tenho a certeza que vais ter sucesso.
Perhaps you are right . But I still need some time to recover from the failure .,Talvez tenhas razão. Mas eu ainda preciso de algum tempo para recuperar do fracasso.
I understand .,Eu compreendo.
The band is pretty good . How do you like the music ?,A banda é muito boa. Gostas da música?
It's very nice . I haven't heard live music in a while . This is fun .,É muito bom. Há algum tempo que não ouço música ao vivo. Isto é divertido.
"Well , then , may I invite you for the next dance ?","Bem, então, posso convidá-lo para a próxima dança?"
Of course . But I'm afraid I'm not much of a dancer ...,Claro que sim. Mas receio que não seja muito dançarina...
Don't worry . I'm not much of a dancer myself .,Não te preocupes. Eu também não sou muito dançarina.
You're dancing so well .,Estás a dançar tão bem.
You dance beautifully too .,Também danças muito bem.
When did you learn to dance ?,Quando aprendeste a dançar?
In college . But I don't dance very often . What's your favourite dance ?,Na faculdade. Mas eu não danço muito frequentemente. Qual é a tua dança favorita?
It's hard to say . It depends . But I love the waltz .,É difícil de dizer. Depende. Mas eu adoro a valsa.
How about tango ?,E o tango?
"Oh , I like it . It's such a beautiful dance , but I can't do it well . What about you ?","Oh, eu gosto. É uma dança tão bonita, mas não consigo fazê-lo bem. E tu?"
Tango is my favorite . Anything but hip-hop or the foxtrot . ( the music has stopped ),O Tango é o meu favorito. Tudo menos o hip-hop ou o foxtrot. (A música parou)
Thank you for the dance .,Obrigado pela dança.
My pleasure . Let's go and have a drink .,O prazer é meu. Vamos tomar uma bebida.
OK .,Está bem.
I think the biggest environment problem in my country is air pollution .,Penso que o maior problema ambiental do meu país é a poluição atmosférica.
"Yes , I agree . The air here is much more polluted than in my country . Of course , my country is more agricultural and has much less industry .","Sim, concordo. O ar aqui é muito mais poluído do que no meu país. Naturalmente, o meu país é mais agrícola e tem muito menos indústria."
"We have reduced emission of air pollutants in recent years , but cars are still a major source of them . Factories have become cleaner as stricter environment pollution law have been introduced .","Reduzimos as emissões de poluentes atmosféricos nos últimos anos, mas os automóveis continuam a ser uma das principais fontes de poluentes atmosféricos. As fábricas tornaram-se mais limpas à medida que foi introduzida uma legislação mais rigorosa em matéria de poluição ambiental."
The problem is now on a truly global scale . I don't believe that any single country can do anything about it .,O problema está agora a uma escala verdadeiramente global. Não acredito que nenhum país possa fazer nada a respeito.
I think you're right . There needs to be an international response to this problem ?,Acho que tens razão. É necessário que haja uma resposta internacional a este problema?
I just had a terrible week .,Tive uma semana terrível.
What a shame !,Que pena!
I fell down and hurt my arm .,Caí e magoei o braço.
That's too bad .,Isso é uma pena.
Then my son drove into a tree .,Então o meu filho entrou numa árvore.
I'm sorry to hear that .,Lamento ouvir isso.
The dog bit the delivery boy .,O cão mordeu o rapaz da entrega.
What a pity !,Que pena!
And a storm blew our roof away .,E uma tempestade explodiu o nosso telhado.
"Ho , no !",Não!
"I ' m so excited , mother . Oh , a new baby !","Estou tão entusiasmada, mãe. Oh, um bebé novo!"
My first grandchild .,O meu primeiro neto.
"And my first nephew . He looks a lot like you , mum . He does .","E o meu primeiro sobrinho. Ele se parece muito contigo, mãe. Ele tem."
"Do you think so ? Well , I guess . He does look a lot like me . Oh , he ' s got Richard ' s eyes though .","Achas que sim? Bem, acho que sim. Ele se parece muito comigo. Mas ele tem os olhos do Richard."
"Yes , he does have Richard ' s eyes . The baby even looks like you than Richard does .","Sim, ele tem os olhos do Richard. O bebé até se parece contigo do que o Richard."
"Well , children usually resemble their parents .","Bem, as crianças geralmente se assemelham aos seus pais."
It ' s true . Michelle is a lot like Henry in so many ways . And she is shy with new people just like he is .,É verdade. A Michelle é muito parecida com o Henry de tantas maneiras. E ela é tímida com pessoas novas como ele.
You often like comparing children with their parents .,Você muitas vezes gosta de comparar crianças com seus pais.
You ' re right .,Tens razão.
When do you go to bed usually ?,Quando é que costumas ir para a cama?
I go to bed at ten and get up at six .,Vou para a cama às dez e levo-me às seis.
That's helpful for your health .,Isso é útil para a sua saúde.
Sure .,Claro que sim.
Have you been ever been to Disneyworld ?,Já estiveste na Disneyworld?
"When I was young , my parents took me to the one in California . I always forget which -- is that one Disneyland or Disneyworld ?","Quando eu era jovem, meus pais me levaram para aquele na Califórnia. Esqueço sempre qual é a Disneylândia ou o Disneyworld?"
"The one in Florida is Disneyworld and the one in California is Disneyland , so you must have been to Disneyland .","O que na Flórida é Disneyworld e o que na Califórnia é Disneyland, então você deve ter sido para Disneyland."
That's right . Why do you ask ?,Isso mesmo. Porque pergunta?
"Well , I've never been to either so I was thinking of going to Disneyworld for my honeymoon .","Bem, eu nunca estive em nenhum dos dois então eu estava pensando em ir para Disneyworld para a minha lua-de-mel."
When are getting married ?,Quando é que te vais casar?
Some time next year . We haven't set the date yet .,Algum tempo para o ano que vem. Ainda não marcamos a data.
Congratulations ! I had no idea .,Parabéns! Não fazia ideia.
Thank you . So what do you think ? Would we have a good time ?,"Obrigado. Então, o que achas? Divirtimo-nos?"
Do you like amusement parks ?,Gostas de parques de diversões?
"For the most part , yes . Some of the rides are bit too scary for me , though .","Na maior parte, sim. Alguns dos passeios são um pouco assustador demais para mim, no entanto."
"If you don't think twice about the rides and go on every ride that you can , you'll have a good time .","Se você não pensar duas vezes sobre os passeios e ir em cada passeio que você pode, você vai ter um bom tempo."
Even the roller coasters that go through tunnels in the dark ?,Até mesmo as montanhas-russas que atravessam túneis no escuro?
"Even those . It'll be very romantic , I think . You'll have loads of fun .","Até aqueles. Vai ser muito romântico, eu acho. Vais ter muita diversão."
Thanks for the advice . I'll talk to my fiance about it tonight .,Obrigado pelo conselho. Vou falar com o meu noivo sobre isso esta noite.
I'm sure he'll love the idea . Just throw yourself into it and you'll enjoy it !,Tenho a certeza que ele vai adorar a ideia. Mete-te nela e vais gostar!
Can you speak French ?,Consegues falar francês?
"Yes , I can , but not very well .","Sim, eu posso, mas não muito bem."
Can you understand your Spanish teacher ?,Consegues entender o teu professor de espanhol?
"More or less . How well do you understand Mr . Wang , your Chinese teacher ?","Mais ou menos. Como você entende bem Sr.. Wang, o teu professor de chinês?"
"About 40 percent , if he speaks slowly . When he speaks fast , I can only catch a word here and there . But Mr . Wang is an excellent Chinese teacher . With his help , my Chinese is getting better and better e","Cerca de 40 por cento, se ele falar devagar. Quando ele fala rápido, eu só posso pegar uma palavra aqui e ali. Mas o Sr.. Wang é um excelente professor de chinês. Com a ajuda dele, meu chinês está ficando cada vez melhor e"
you look better today . How did your test go ?,Pareces melhor hoje. Como correu o teu teste?
much better than it did yesterday .,muito melhor do que ontem.
did you pass ?,Você passou?
"I not only passed my test , but I aced it ! I'm so happy !","Não só passei no meu teste, mas acertei-o! Estou tão feliz!"
you should be . You worked really hard last night preparing for it .,Devias estar. Trabalhaste muito ontem à noite a preparar-te para isso.
"thanks for helping me with it . If you hadn't encouraged me to do my best , I wouldn't have ever been able to pass .","Obrigado por me ajudares com isso. Se você não me tivesse encorajado a fazer o meu melhor, eu nunca teria sido capaz de passar."
you don't have to thank me . It's just a part of my job as your counsellor .,Não tens de me agradecer. Faz parte do meu trabalho de conselheiro.
did you always do well at school ?,Fez-se sempre bem na escola?
"no , in fact , I was terrible at taking exams .","Não, na verdade, eu era terrível em fazer exames."
really ?,A sério?
"sure , but my teachers always encouraged me to do the best that I could and that helped me a lot . When are your final exams ?","Claro, mas meus professores sempre me encorajaram a fazer o melhor que eu podia e isso me ajudou muito. Quando são os exames finais?"
I'll get my finals in two months .,Recebo os exames finais daqui a dois meses.
when do you plan on studying for those exams ?,Quando planeias estudar para esses exames?
most students just cram the night forehead .,a maioria dos alunos apenas cram a testa noturna.
do you think that's a good idea ?,Achas que é uma boa ideia?
"no , I think I should study a little bit at a time , starting a few weeks before the exam .","Não, eu acho que eu deveria estudar um pouco de cada vez, começando algumas semanas antes do exame."
that sounds like a good idea . What are you going to do if you have any questions while you're studying ?,Parece uma boa ideia. O que vais fazer se tiveres alguma pergunta enquanto estudas?
I'll go and talk to my professor or a learning support assistant .,Vou falar com o meu professor ou com um assistente de apoio para a aprendizagem.
it sounds like you've learned something useful this year !,Parece que aprendeste algo útil este ano!
Can I borrow your Cds for our school dance ?,Emprestas-me os teus CDs para a nossa dança escolar?
"Oh , you don't ask much , do you ?","Não pedes muito, pois não?"
I promise I will personally guard every single one and they will come back in perfect condition .,Prometo que cuidarei pessoalmente de cada um e eles voltarão em perfeitas condições.
I'll tell you what . Your class can rent them from me for the night and buy back any damaged ones .,Vou dizer-te uma coisa. A tua turma pode alugá-los de mim para a noite e comprar de volta os danificados.
That sounds fair . That's still cheaper than paying a band to come play for us .,Parece justo. Isso ainda é mais barato do que pagar uma banda para vir tocar para nós.
Not as fun though . A live band is way more exciting !,Não é tão divertido. Uma banda ao vivo é muito mais excitante!
Our class doesn't have enough money . We already checked into it .,A nossa turma não tem dinheiro suficiente. Já nos verificamos.
Let me know with your next dance . I know a band that may give you a break for the publicity .,Avisa-me com a tua próxima dança. Conheço uma banda que pode dar-lhe uma folga para a publicidade.
Do you want to go to the beach tonight ?,Queres ir à praia esta noite?
"Sure , which beach are we going to ?","Claro, em que praia vamos?"
I wanted to go to Malibu beach .,Eu queria ir para a praia de Malibu.
I like Santa Monica .,Gosto de Santa Mônica.
The water there looks so dirty .,A água ali parece tão suja.
I just like the pier they have at Santa Monica .,Eu só gosto do cais que eles têm em Santa Mônica.
"I like the pier too , because it's beautiful at night .","Também gosto do cais, porque é lindo à noite."
Is Malibu beach nice ?,A praia de Malibu é agradável?
"It's a lot nicer , and I really like it better .","É muito mais bonito, e eu realmente gosto mais."
So you want to go to Malibu ?,"Então, queres ir para Malibu?"
If that's okay with you .,Se não te importares.
"Sure , let's go to Malibu .","Claro, vamos para Malibu."
There are so many environment problems in the world today . Do you think we can really solve them all or will destroy the world ?,Há tantos problemas ambientais no mundo hoje. Achas que podemos resolvê-los todos ou destruir o mundo?
"I hope that world leaders can get together and agree on a plan for action , but I doubt it ' ll happen before it ' s too late .","Espero que os líderes mundiais possam reunir-se e chegar a acordo sobre um plano de acção, mas duvido que isso aconteça antes que seja tarde demais."
